"profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","run","tots"
1156.64927763385,1156.64927763375,0,4.34684057684683e-11,5.73062712309572e-10,"10,70,80,90,100",2313.29855526822
1119.14617425644,1119.146174256,0,4.05302783332174e-11,-7.42328034089293e-10,"10,70,80,90,100",2238.29234851174
1086.48621608859,1086.48621608789,0,0,1.03322749631313e-10,"10,70,80,90,100",2172.97243217658
1057.84612506588,1057.84612506581,-1.70094245127469e-12,3.59483767053649e-11,-2.83172402782181e-10,"10,70,80,90,100",2115.69225013144
1032.57955665989,1032.57955665981,1.66037770652028e-12,3.41394674079788e-11,-5.40187712255309e-10,"10,70,80,90,100",2065.1591133192
1010.17155392655,1010.17155392626,-1.62440230644765e-12,3.25741152454127e-11,8.85504507401133e-11,"10,70,80,90,100",2020.34310785293
990.206481026315,990.206481025781,-1.59234895870162e-12,2.52495955583341e-10,5.03505645570809e-10,"10,70,80,90,100",1980.41296205285
972.344971225935,972.344971225482,0,3.0014644554138e-11,-2.40184816318541e-10,"10,70,80,90,100",1944.68994245121
956.307059541334,956.307059541279,0,2.89609264228069e-11,-2.32515150084162e-10,"10,70,80,90,100",1912.61411908241
941.859625599654,941.859625599359,0,0,7.62901757309389e-11,"10,70,80,90,100",1883.71925119909
928.806917252303,928.806917252288,1.49377373553801e-12,2.64062884205849e-10,3.67755605077191e-10,"10,70,80,90,100",1857.61383450522
916.983301651583,916.983301651298,0,2.60311734174649e-10,-2.14236084033718e-10,"10,70,80,90,100",1833.96660330293
906.247649619283,906.247649619007,0,2.57924337478669e-11,-2.09375717464494e-10,"10,70,80,90,100",1812.49529923811
896.478942052473,896.478942052113,0,-2.51954104474278e-11,6.8648348969365e-11,"10,70,80,90,100",1792.95788410463
887.572794957978,887.572794957665,0,2.46571601966232e-11,-6.70357203890553e-10,"10,70,80,90,100",1775.145589915
879.438686717166,879.438686717193,0,9.66244947181561e-15,1.31775374823067e-10,"10,70,80,90,100",1758.87737343449
871.997725853122,871.997725853068,0,2.37297538555698e-11,-3.8847438012069e-10,"10,70,80,90,100",1743.99545170583
865.180840759022,865.180840758706,0,2.20676879965726e-10,-4.46207561432053e-10,"10,70,80,90,100",1730.3616815175
858.92729862878,858.927298628683,0,-4.59302388080205e-11,3.13873387424281e-10,"10,70,80,90,100",1717.85459725773
853.183488494665,853.183488494465,0,2.2633035573633e-11,3.09634192395202e-10,"10,70,80,90,100",1706.36697698946
847.901912695487,847.901912695296,0,2.16268770770388e-10,6.09131259656966e-11,"10,70,80,90,100",1695.80382539106
843.04034538894,843.040345388662,0,0,-1.21725534495689e-10,"10,70,80,90,100",1686.08069077748
838.561128771257,838.561128770998,0,0,2.98972276233225e-10,"10,70,80,90,100",1677.12225754255
834.430579910645,834.430579910234,0,2.15655477037634e-11,-1.19445897622608e-10,"10,70,80,90,100",1668.86115982078
830.61848767252,830.618487672198,0,0,-1.76715313626415e-10,"10,70,80,90,100",1661.23697534454
827.097685908479,827.097685908475,0,2.11550970792467e-11,5.77410226334072e-11,"10,70,80,90,100",1654.19537181703
823.843687176686,823.843687176213,0,0,5.7252502604466e-11,"10,70,80,90,100",1647.68737435296
820.834370602216,820.834370601694,0,-2.09378051360615e-10,2.86297217403106e-10,"10,70,80,90,100",1641.66874120399
818.049709923521,818.04970992326,0,1.88015102266871e-10,3.4071882949073e-10,"10,70,80,90,100",1636.09941984731
815.471541175583,815.471541175452,0,-2.05041635099548e-11,5.65033484384313e-10,"10,70,80,90,100",1630.94308235158
